"","sitekey","latitude","longitude"
"1_Unit 1","1_Unit 1",40.86666667,-105.75
"10_Cultural unit","10_Cultural unit",35,-101.8666667
"110_Assemblage","110_Assemblage",44.13333333,-88.68333333
"112_Assemblage","112_Assemblage",45.8,-84.75
"114_Reddish-Brown Silt Zone","114_Reddish-Brown Silt Zone",39.33333333,-114.0833333
"115_Assemblage","115_Assemblage",38.86666667,-114.1166667
"117_Stratum 13","117_Stratum 13",39.36666667,-118.6166667
"117_Stratum 4","117_Stratum 4",39.36666667,-118.6166667
"118_Assemblage","118_Assemblage",38,-90
"13_Stratum 2B A Horizon","13_Stratum 2B A Horizon",33.61666667,-101.8833333
"13_Stratum IB","13_Stratum IB",33.61666667,-101.8833333
"134_Assemblage","134_Assemblage",34.36666667,-99.75
"135_Assemblage","135_Assemblage",33.25,-97
"136_Assemblage","136_Assemblage",33.36666667,-95.75
"140_Assemblage","140_Assemblage",31.86666667,-104.75
"142_Area A","142_Area A",29.65,-101.3
"152_Non-Cultural Unit","152_Non-Cultural Unit",30.25,-97.76666667
"153_Assemblage","153_Assemblage",29.73333333,-101.4
"154_Travertine","154_Travertine",30.58333333,-98.63333333
"155_Layer B","155_Layer B",30.25,-99.86666667
"155_Layer C1","155_Layer C1",30.25,-99.86666667
"155_Layer C2","155_Layer C2",30.25,-99.86666667
"159_Assemblage","159_Assemblage",29.88333333,-98.61666667
"16_Large Mammal Assemblage","16_Large Mammal Assemblage",35.86666667,-93
"162_Operations 2-3","162_Operations 2-3",29.98333333,-101.1
"162_Zone IV","162_Zone IV",29.98333333,-101.1
"162_Zone V","162_Zone V",29.98333333,-101.1
"164_Analysis Unit 5","164_Analysis Unit 5",29.88333333,-101.4333333
"164_Analysis Unit 7","164_Analysis Unit 7",29.88333333,-101.4333333
"164_Analysis Unit 8","164_Analysis Unit 8",29.88333333,-101.4333333
"164_Analysis Unit Unknown","164_Analysis Unit Unknown",29.88333333,-101.4333333
"165_Area B","165_Area B",30.25,-97.75
"166_Assemblage","166_Assemblage",31.86666667,-104.75
"18_Assemblage","18_Assemblage",43.36666667,-112.6166667
"180_Stratum III","180_Stratum III",44.86666667,-108.1166667
"180_Stratum IV","180_Stratum IV",44.86666667,-108.1166667
"183_Assemblage","183_Assemblage",44.73333333,-107.15
"186_Assemblage","186_Assemblage",41.56666667,-105.5166667
"19_Assemblage","19_Assemblage",44.26666667,-112.9
"203_Assemblage","203_Assemblage",44.25,-107.5
"21_Assemblage","21_Assemblage",41.75,-105.3666667
"22_Late Glacial","22_Late Glacial",42.61666667,-105.6166667
"22_Pre-Boreal","22_Pre-Boreal",42.61666667,-105.6166667
"228_Assemblage","228_Assemblage",42.75,-106.3666667
"23_Late Pleistocene","23_Late Pleistocene",43.86666667,-107.6166667
"24_Unit 3","24_Unit 3",44.86666667,-108.1166667
"25_Merrill Tract","25_Merrill Tract",38.65,-90.08333333
"28_Assemblage","28_Assemblage",40.08333333,-78.65
"3_Assemblage","3_Assemblage",39.86666667,-102.1166667
"30_Assemblage","30_Assemblage",38.36666667,-78.08333333
"31_Entrance 2","31_Entrance 2",38.08333333,-79.65
"318_Level 7","318_Level 7",35.25,-98.36666667
"32_0-3 ft. Level","32_0-3 ft. Level",36.45,-82.46666667
"32_3-4 ft. Level","32_3-4 ft. Level",36.45,-82.46666667
