sitekey,timeybp
1_Unit 1,9079
10_Cultural unit,600
110_Assemblage,734.625
112_Assemblage,357
114_Reddish-Brown Silt Zone,32620.5
115_Assemblage,22500
117_Stratum 13,21000
117_Stratum 4,3822
118_Assemblage,175
13_Stratum 2B A Horizon,7929.4
13_Stratum IB,12954.25
134_Assemblage,20260.5
135_Assemblage,30000
136_Assemblage,11946.5
140_Assemblage,13943
142_Area A,2487.8
152_Non-Cultural Unit,3844
153_Assemblage,16193
154_Travertine,8034
155_Layer B,4226
155_Layer C1,11130
155_Layer C2,10559
159_Assemblage,12815
16_Large Mammal Assemblage,15000
162_Operations 2-3,7196
162_Zone IV,3700
162_Zone V,1950
164_Analysis Unit 5,5677.428571
164_Analysis Unit 7,8504.1
164_Analysis Unit 8,11844
164_Analysis Unit Unknown,6685
165_Area B,19337
166_Assemblage,2191
18_Assemblage,9000
180_Stratum III,11752.5
180_Stratum IV,20250
183_Assemblage,509
186_Assemblage,22500
19_Assemblage,21000
203_Assemblage,10916
21_Assemblage,14331
22_Late Glacial,17000
22_Pre-Boreal,10469
228_Assemblage,225
23_Late Pleistocene,22500
24_Unit 3,22135.25
25_Merrill Tract,600
28_Assemblage,12097.875
3_Assemblage,12472.25
30_Assemblage,16208
31_Entrance 2,2249
318_Level 7,500
32_0-3 ft. Level,5780
32_3-4 ft. Level,11100
32_4-5 ft. Level,546
32_5-6 ft. Level,12391
32_6-7 ft. Level,13481
32_8-9 ft. Level,15370
32_9-10 ft. Level,23028
322_Assemblage,750
324_Plains Village,811.25
33_Armadillo Pit (II),22500
334_Bone Bed,1916
336_Assemblage,1808
337_Assemblage,817.75
338_Assemblage,300
34_Assemblage,12466
35_Assemblage,28454.5
351_Assemblage,1021
352_Assemblage,724
355_Ambystoma,17980
356_Assemblage,22500
36_Assemblage,24024.9375
360_The Pit Loc. 1925,205000
360_Velvet Room Loc. 1927,205000
363_Assemblage,650
364_Assemblage,650
365_Midden,712.5
37_Stratum C lower,17595
37_Stratum C middle,7395
37_Stratum C upper,7706
373_Assemblage,775
38_Assemblage,60000
382_Assemblage,337.5
394_Assemblage,225
395_Assemblage,583
396_Assemblage,717
398_Assemblage,858.375
40_Assemblage,275
404_Assemblage,237.5
411_Assemblage,675.5
412_Assemblage,412.5
414_Assemblage,738.5
42_Mound C,614.6666667
420_Assemblage,190
423_Zone D,434.25
426_Assemblage,740.75
428_Assemblage,845.3333333
433_Assemblage,60000
434_Assemblage,60000
